시간	무게	무게 변화	포트	로그	상태
15_18_29_681	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_29_686	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_29_713	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_29_775	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_29_780	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_29_785	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_29_814	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_29_881	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_29_886	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_29_891	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_29_916	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_29_991	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_30_020	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_30_026	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_30_033	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_30_101	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_30_107	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_30_115	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_30_142	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_30_210	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_30_218	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_30_226	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_30_261	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_30_321	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_30_328	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_30_336	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_30_368	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_30_429	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_30_435	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_30_440	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_30_465	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_30_539	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_30_546	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_30_552	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_30_585	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_30_649	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_30_656	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_30_664	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_30_697	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_30_759	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_30_764	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_30_770	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_30_793	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_30_866	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_30_879	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_30_884	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_30_904	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_30_976	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
15_18_30_982	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopRight	403	t
15_18_30_987	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_31_015	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomLeft	523	t
15_18_31_088	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	TopLeft	421	t
15_18_31_120	[0, 0, 0, 0, 0, 0, 0, 0, 0]	-	BottomRight	529	t
